Epoch 138/200, Training Loss: 0.1115750282250644, Validation Loss: 0.11283438031475385, Validation Accuracy: 0.951821
Epoch 139/200, Training Loss: 0.11163336130231884, Validation Loss: 0.11224393094309602, Validation Accuracy: 0.951908
Epoch 140/200, Training Loss: 0.11159884714588676, Validation Loss: 0.11279030522694602, Validation Accuracy: 0.951899
Epoch 141/200, Training Loss: 0.11160287724253634, Validation Loss: 0.1123301389213568, Validation Accuracy: 0.951935
Epoch 142/200, Training Loss: 0.11159716339148197, Validation Loss: 0.11338828658810057, Validation Accuracy: 0.951674
Epoch 143/200, Training Loss: 0.11156423823491475, Validation Loss: 0.11196357149856921, Validation Accuracy: 0.952182
Epoch 144/200, Training Loss: 0.11159821317908267, Validation Loss: 0.11270163589106581, Validation Accuracy: 0.951943
Epoch 145/200, Training Loss: 0.11159177817645295, Validation Loss: 0.11274748145581816, Validation Accuracy: 0.951843
Epoch 146/200, Training Loss: 0.11157471202697951, Validation Loss: 0.1135631626168379, Validation Accuracy: 0.951473
Epoch 147/200, Training Loss: 0.11152398847427565, Validation Loss: 0.11300586737668553, Validation Accuracy: 0.951683
Epoch 148/200, Training Loss: 0.11156597315544681, Validation Loss: 0.11191489169011101, Validation Accuracy: 0.952204
Epoch 149/200, Training Loss: 0.11153057750501202, Validation Loss: 0.11170995114043879, Validation Accuracy: 0.952197
Epoch 150/200, Training Loss: 0.11154205585676624, Validation Loss: 0.11238168713193351, Validation Accuracy: 0.951992
Epoch 151/200, Training Loss: 0.11147036927580367, Validation Loss: 0.11320041560422117, Validation Accuracy: 0.951727
Epoch 152/200, Training Loss: 0.11154190146579804, Validation Loss: 0.11316755178351752, Validation Accuracy: 0.951558
Epoch 153/200, Training Loss: 0.11153270227392924, Validation Loss: 0.11155813111188694, Validation Accuracy: 0.952379
Epoch 154/200, Training Loss: 0.11145150765824309, Validation Loss: 0.11242047073646856, Validation Accuracy: 0.951952
Epoch 155/200, Training Loss: 0.11149910834763256, Validation Loss: 0.1122245053751781, Validation Accuracy: 0.951945
Epoch 156/200, Training Loss: 0.11150165551917815, Validation Loss: 0.11277183721335932, Validation Accuracy: 0.951737
Epoch 157/200, Training Loss: 0.11151375707107805, Validation Loss: 0.11153037905597839, Validation Accuracy: 0.952327
Epoch 158/200, Training Loss: 0.11144962156217292, Validation Loss: 0.11282878978469502, Validation Accuracy: 0.951775
Epoch 159/200, Training Loss: 0.1114545260704034, Validation Loss: 0.11165562272071838, Validation Accuracy: 0.952275
Epoch 160/200, Training Loss: 0.11146379180896168, Validation Loss: 0.1124509101668105, Validation Accuracy: 0.952065
Epoch 161/200, Training Loss: 0.11145934211457703, Validation Loss: 0.11231289549281422, Validation Accuracy: 0.951891
Epoch 162/200, Training Loss: 0.11145423400658457, Validation Loss: 0.112484913140821, Validation Accuracy: 0.951993
Epoch 163/200, Training Loss: 0.11144110959035156, Validation Loss: 0.1124143098680356, Validation Accuracy: 0.95192
Epoch 164/200, Training Loss: 0.11143378530941186, Validation Loss: 0.11112252375283561, Validation Accuracy: 0.952743
